City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,durres,41.3231,19.4414,15.1,54,1,3.49,AL,1691550679
331,farafangana,-22.8167,47.8333,18.95,91,91,0.62,MG,1691550679
332,bowen,-20.0167,148.2333,22.83,58,93,7.83,AU,1691550679
333,naze,28.3667,129.4833,25.51,84,100,11.23,JP,1691550672
334,esikhaleni,-28.871,31.8996,19.37,73,88,7.41,ZA,1691550679
335,nabire,-3.3667,135.4833,30.01,62,95,2.29,ID,1691550679
336,saint-felicien,48.6501,-72.4491,13.1,98,100,3.67,CA,1691550679
337,brookings,44.3114,-96.7984,21.0,83,0,2.57,US,1691550519
338,asau,46.4333,26.4,10.71,84,25,2.27,RO,1691550679
339,golere,16.2557,-14.1017,28.64,52,25,6.34,SN,1691550680
340,cabinda,-5.55,12.2,20.8,92,0,1.75,AO,1691550680
341,pisco,-13.7,-76.2167,19.03,82,13,3.09,PE,1691550680
342,morehead city,34.7229,-76.726,29.0,78,0,4.63,US,1691550680
343,ca mau,9.1769,105.15,32.4,55,16,5.05,VN,1691550680
344,dalandzadgad,43.5708,104.425,29.66,27,61,9.34,MN,1691550493
345,teguise,29.0605,-13.564,21.12,78,0,4.12,ES,1691550680
346,cabo san lucas,22.8909,-109.9124,33.12,74,20,5.66,MX,1691550359
347,constantia,44.1833,28.65,13.38,74,0,3.39,RO,1691550628
348,queenstown,-31.8976,26.8753,10.29,76,100,2.2,ZA,1691550680
349,nhamunda,-2.1861,-56.7131,26.26,61,69,0.82,BR,1691550680
350,laminusa,5.5549,120.9136,28.76,73,100,4.16,PH,1691550680
351,clifton springs,-38.15,144.5667,19.09,42,13,9.77,AU,1691550681
352,callao,-12.0667,-77.15,20.16,77,40,5.66,PE,1691550681
353,illizi,26.4833,8.4667,31.18,21,11,6.33,DZ,1691550681
354,port saint john's,-31.6229,29.5448,17.14,74,86,3.86,ZA,1691550681
355,al burayqah,30.4062,19.5739,25.89,69,0,6.9,LY,1691550681
356,dzuunharaa,48.8523,106.4579,24.85,60,100,5.01,MN,1691550681
357,kainantu,-6.2887,145.8655,23.36,53,55,1.72,PG,1691550681
358,tocopilla,-22.092,-70.1979,18.74,68,25,3.29,CL,1691550672
359,pekan,3.4836,103.3996,29.06,64,18,1.7,MY,1691550339
360,banda aceh,5.5577,95.3222,29.09,70,100,3.84,ID,1691550681
361,hammerfest,70.6634,23.6821,23.25,73,0,2.57,NO,1691550682
362,timon,-5.0942,-42.8367,25.88,78,0,2.06,BR,1691550682
